date,source,title,address,borough,developers,url
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST   82 STREET,MANHATTAN,SANDBERG MANAGEMENT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST   20 STREET,MANHATTAN,LEXITI REALTY CORP.,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,SACKETT STREET,BROOKLYN,BUILD 360,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,47 STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,37 AVENUE,QUEENS,THE ORIGINAL AMERICAN CHICKEN & BAK,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,SHORE FRONT PARKWAY,QUEENS,NYC PARKS & RECREATION,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST   45 STREET,MANHATTAN,550 STEWART ACQUISITION LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,MORTON STREET,MANHATTAN,MACK EDGE MGMT LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,ZEPHYR AVENUE,STATEN ISLAND,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,AMSTERDAM AVENUE,MANHATTAN,ESSEX CAPITAL PARTNERS,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,SACKETT STREET,BROOKLYN,BUILD 360,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,LINWOOD STREET,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,WOOD AVENUE,STATEN ISLAND,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,61 STREET,BROOKLYN,Taning 61 LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Construction Fence,PACIFIC STREET,BROOKLYN,HOUSES R US NYC LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,54 STREET,BROOKLYN,CONGREGATION IMREI YEHUDAH,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,SEVENTH AVENUE,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,LORIMER STREET,BROOKLYN,JR AND SONS NY LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,THIRD AVENUE,MANHATTAN,KAHEN PROPERTIES LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,7 STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Support of Excavation,THIRD AVENUE,MANHATTAN,KAHEN PROPERTIES LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,90 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,EAST  175 STREET,BRONX,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST   56 STREET,MANHATTAN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,3 PLACE,BROOKLYN,BUILD 360,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,3 PLACE,BROOKLYN,BUILD 360,https://data.cityofnewyork.us/resource/rbx6-tga4.json
