date,source,title,address,borough,developers,url
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,MINFORD PLACE,BRONX,GOSPEL TEMPLE CHURCH,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,VARICK STREET,MANHATTAN,"W.&M. OPERATING, LLC",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Support of Excavation,12 ROAD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,SEVENTH AVENUE,MANHATTAN,CBRE,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,1 AVENUE,MANHATTAN,NYCSCA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,61 ROAD,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,COLUMBUS AVENUE,MANHATTAN,"APERTURE FOUNDATION, INC.",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,171 PLACE,QUEENS,4539 HOLDING LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,CENTRAL PARK WEST,MANHATTAN,ORSID NEW YORK,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,PARK AVENUE SOUTH,MANHATTAN,Cushman and Wakefield,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST   78 STREET,MANHATTAN,MULROONEY LAW FIRM PLLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,GANSEVOORT STREET,MANHATTAN,"ROMANOFF EQUITIES, INC.",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,BATCHELDER STREET,BROOKLYN,CITISCAPE CONSULTING LTD,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,BROADWAY,MANHATTAN,195 BROADWAY PROPERTY LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,WEST   50 STREET,MANHATTAN,"GEORGE COMFORT & SONS, INC.",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,NETHERLAND AVENUE,BRONX,Erica Rojas,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,10 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST   18 STREET,MANHATTAN,- NONE -,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,7 AVENUE,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,211 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WILLOUGHBY AVENUE,BROOKLYN,"BLACK VETERANS FOR SOCIAL JUSTICE,",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,264 STREET,QUEENS,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,86 STREET,QUEENS,Innospark Design,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,14 AVENUE,BROOKLYN,PARK,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,TOMPKINS AVENUE,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,CHAUNCEY STREET,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST   89 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,250 STREET,QUEENS,NA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,SPRINGFIELD BOULEVARD,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,DOSCHER STREET,BROOKLYN,AKHTAR CONSTRUCTION CO INC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,CONEY ISLAND AVENUE,BROOKLYN,RIVERSIDE DEVELOPERS,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   15 STREET,MANHATTAN,TAI,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,175 STREET,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,134 ROAD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,5 AVENUE,MANHATTAN,NYCHA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,SEDGWICK AVENUE,BRONX,M RAPAPORT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,78 STREET,BROOKLYN,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   76 STREET,MANHATTAN,THE CARLYLE,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,DITMAS AVENUE,BROOKLYN,MANAGMENT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   73 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,48 AVENUE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST  167 STREET,BRONX,NYC SCA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,MADISON AVENUE,MANHATTAN,DS400OWNER LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,77 AVENUE,QUEENS,30 COMMERCIAL LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST   70 STREET,MANHATTAN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,NEPTUNE AVENUE,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   32 STREET,MANHATTAN,WINDSOR MANAGEMENT CORP.,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,BEACH AVENUE,BRONX,NEW YORK CITY HOUSING AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAGLE STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,55 ROAD,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST   46 STREET,MANHATTAN,FERNANDO ALFONSO,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,215 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,HUDSON YARDS,MANHATTAN,"Milbank, LLP",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,NORTHERN BOULEVARD,QUEENS,TEDDY NISSAN LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,BRUCKNER BOULEVARD,BRONX,380 BROADWAY LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,SUMPTER STREET,BROOKLYN,FERNANDO ALFONSO,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,PARK AVENUE,MANHATTAN,PAD2 LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,CRESCENT STREET,QUEENS,ST. JOHN'S PREPARATORY SCHOOL,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,2 AVENUE,MANHATTAN,TRISTAR MANAGEMENT ASSOCIATES LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,248 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,BROADWAY,MANHATTAN,SL GREEN REALTY CORP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,88 AVENUE,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,ERICSSON STREET,QUEENS,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST   10 STREET,MANHATTAN,NEW YORK CITY HOUSING AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,HARPER STREET,QUEENS,NYC DEPARTMENT OF TRANSPORTATION,https://data.cityofnewyork.us/resource/rbx6-tga4.json
